gender,years_experience,technical_score,education_level,hired
Male,19,65,Bachelors,1
Female,10,47,Bachelors,1
Female,16,68,PhD,1
Female,7,65,Bachelors,1
Male,3,49,Bachelors,0
Male,5,65,PhD,1
Male,7,73,Masters,1
Female,19,90,Bachelors,1
Female,2,80,Bachelors,1
Female,15,46,Bachelors,1
Male,2,43,Bachelors,0
Female,17,97,Bachelors,1
Female,13,92,Bachelors,1
Male,17,89,Bachelors,1
Male,1,84,Bachelors,1
Male,2,50,PhD,1
Male,15,68,PhD,1
Female,8,95,Bachelors,1
Male,3,75,Bachelors,1
Male,0,64,Bachelors,1
Female,3,60,Masters,0
Male,0,96,Bachelors,1
Male,13,75,Bachelors,1
Male,15,49,PhD,1
Male,19,76,Masters,1
Female,7,48,PhD,0
Male,6,63,Masters,1
Female,2,74,Bachelors,1
Female,16,88,Bachelors,1
Male,0,74,PhD,1
Female,15,87,Masters,1
Male,11,75,Bachelors,1
Male,18,57,Bachelors,1
Female,13,88,Bachelors,1
Female,5,78,Masters,0
Female,5,71,PhD,1
Male,12,63,Bachelors,1
Male,18,62,Bachelors,1
Female,7,71,Bachelors,1
Male,1,76,PhD,1
Male,0,51,Masters,1
Male,14,88,Masters,1
Male,0,94,Bachelors,1
Female,4,52,Bachelors,0
Male,15,62,Bachelors,1
Female,18,64,Bachelors,1
Male,3,74,Masters,1
Female,2,80,Masters,1
Female,16,69,PhD,1
Male,16,56,PhD,1
Female,11,88,Bachelors,1
Female,13,59,Masters,1
Female,5,87,PhD,1
Female,2,64,Masters,0
Female,8,61,Bachelors,0
Female,4,52,Bachelors,0
Male,16,98,Bachelors,1
Male,13,58,PhD,1
Male,2,88,Bachelors,1
Male,0,75,Bachelors,1
Male,19,51,Bachelors,1
Male,0,80,Bachelors,1
Female,2,58,Bachelors,1
Male,17,51,Bachelors,1
Male,9,48,Bachelors,1
Female,2,46,Bachelors,0
Male,7,67,Masters,1
Female,13,53,Bachelors,1
Male,17,70,Masters,1
Female,14,91,Bachelors,1
Female,1,58,Bachelors,0
Male,9,97,Masters,1
Male,1,86,Bachelors,1
Female,16,55,Bachelors,1
Female,7,92,Bachelors,1
Female,0,44,Masters,0
Female,8,74,Bachelors,1
Male,10,51,Masters,1
Male,15,64,Bachelors,1
Male,6,91,Bachelors,1
Female,9,98,Bachelors,1
Female,2,60,Bachelors,0
Male,17,75,Bachelors,1
Male,12,92,Bachelors,1
Male,6,62,Bachelors,1
Male,3,55,PhD,1
Female,12,96,Bachelors,1
Female,19,78,Bachelors,1
Female,0,84,Masters,0
Male,7,92,Bachelors,1
Male,13,81,Bachelors,1
Female,15,97,Masters,1
Female,13,78,PhD,1
Female,11,53,Bachelors,1
Female,18,70,PhD,1
Male,14,97,Bachelors,1
Female,1,44,Bachelors,0
Male,1,74,Bachelors,1
Male,18,62,PhD,1
Male,16,68,Bachelors,1
Male,19,82,Bachelors,1
Female,9,50,Bachelors,0
Male,5,57,Bachelors,0
Female,14,86,Bachelors,1
Female,10,51,Bachelors,1
Male,4,48,Bachelors,0
Male,0,49,Bachelors,1
Female,7,97,Bachelors,1
Male,11,83,Bachelors,1
Male,11,56,Bachelors,1
Male,4,77,Bachelors,1
Male,6,46,Masters,1
Female,3,85,Bachelors,0
Female,5,52,Bachelors,1
Female,12,79,Bachelors,1
Female,19,81,Bachelors,1
Female,14,48,Bachelors,0
Male,2,89,Bachelors,1
Female,7,66,Bachelors,1
Female,19,97,Bachelors,1
Female,15,41,Bachelors,1
Female,12,44,Bachelors,0
Male,17,68,Bachelors,1
Male,9,76,Bachelors,1
Male,18,77,Bachelors,1
Male,16,58,Bachelors,1
Female,18,47,Bachelors,1
Female,4,87,Bachelors,0
Male,8,84,Masters,1
Female,11,40,Bachelors,0
Male,0,61,Bachelors,0
Male,0,91,Masters,1
Male,14,56,PhD,1
Male,1,46,Bachelors,0
Female,15,64,Bachelors,1
Male,7,84,Masters,1
Female,12,43,Masters,0
Female,0,75,Bachelors,1
Male,15,45,Bachelors,1
Female,6,99,Bachelors,1
Female,4,70,Bachelors,1
Male,2,58,Bachelors,1
Male,11,83,Bachelors,1
Male,15,93,Bachelors,1
Male,18,78,Masters,1
Male,4,66,Bachelors,1
Female,13,49,Bachelors,1
Female,4,65,Masters,0
Male,14,58,Masters,1
Male,16,78,Bachelors,1
Female,13,42,Bachelors,1
Male,19,84,Bachelors,1
Male,4,52,Bachelors,1
Male,11,89,Bachelors,1
Female,15,67,Bachelors,1
Male,15,97,Bachelors,1
Female,6,59,Bachelors,1
Female,3,67,Bachelors,0
Male,0,47,Bachelors,0
Female,4,80,Bachelors,1
Male,9,78,Bachelors,1
Female,4,40,Bachelors,0
Female,3,42,Masters,0
Female,1,52,Bachelors,0
Male,19,67,Bachelors,1
Female,9,96,Masters,1
Male,18,99,Bachelors,1
Male,0,88,Bachelors,1
Male,4,64,Bachelors,1
Female,12,95,Bachelors,1
Female,3,72,Masters,0
Male,15,77,Bachelors,1
Female,15,92,Bachelors,1
Male,1,45,Bachelors,0
Female,16,97,Bachelors,1
Male,19,83,Bachelors,1
Female,11,84,Bachelors,1
Male,17,71,Bachelors,1
Female,2,84,PhD,1
Male,0,86,Bachelors,1
Male,0,60,Bachelors,0
Male,18,55,Bachelors,1
Female,10,93,Bachelors,1
Female,4,60,Bachelors,0
Male,11,50,Bachelors,1
Female,2,99,Bachelors,1
Female,0,76,Bachelors,1
Female,0,75,Bachelors,0
Female,7,74,Masters,1
Male,9,58,Bachelors,1
Male,10,59,Bachelors,1
Female,11,96,Bachelors,1
Female,12,57,PhD,1
Female,11,86,Bachelors,1
Male,13,80,Bachelors,1
Male,1,88,PhD,1
Female,18,53,Masters,1
Female,17,54,Masters,1
Female,2,70,Bachelors,1
Female,16,40,Bachelors,1
