gender,race,income,credit_score,zip_code,approved
Male,Black,51352,755,10004,1
Female,White,85069,696,10002,1
Female,White,141888,802,10003,1
Female,Asian,140448,509,10001,1
Male,Black,44397,811,10005,1
Male,White,71555,785,10002,1
Male,White,76959,741,10004,1
Female,Black,30728,750,10002,1
Female,White,80517,504,10001,0
Female,White,149180,618,10004,1
Male,White,96234,788,10003,1
Female,Black,69954,564,10002,0
Female,Black,77280,645,10001,0
Male,White,109459,723,10005,1
Male,Black,46779,738,10004,1
Male,White,93932,676,10002,1
Male,White,102936,766,10002,1
Female,Black,54466,840,10003,1
Male,Black,66939,781,10003,1
Male,Asian,99896,562,10005,1
Female,Black,65270,716,10005,1
Male,White,89163,841,10001,1
Male,White,112637,814,10001,1
Male,White,81934,782,10005,1
Male,White,94895,676,10005,1
Female,White,62307,597,10004,1
Male,Hispanic,84098,604,10003,1
Female,White,90921,598,10001,1
Female,Asian,35486,810,10003,1
Male,Black,38335,505,10003,1
Female,Asian,116900,696,10005,1
Male,White,132795,632,10004,1
Male,White,119112,758,10002,1
Female,White,127203,522,10004,1
Female,White,41130,552,10004,0
Female,Black,117508,664,10003,1
Male,White,135955,701,10004,1
Male,White,148324,582,10001,1
Female,Black,90566,644,10003,1
Male,White,96703,584,10001,1
Male,Hispanic,57192,577,10002,1
Male,Hispanic,31062,500,10003,0
Male,Hispanic,114076,550,10002,1
Female,White,119780,672,10003,1
Male,White,51545,704,10005,1
Female,Hispanic,51689,759,10004,1
Male,White,41174,787,10005,1
Female,Hispanic,118461,533,10002,1
Female,Hispanic,133033,847,10004,1
Male,Asian,39348,594,10003,1
Female,White,53714,571,10004,0
Female,White,68102,538,10001,1
Female,Asian,104460,653,10004,1
Female,White,132634,749,10001,1
Female,White,119930,661,10004,1
Female,White,36801,617,10001,1
Male,Hispanic,133150,758,10002,1
Male,Black,102267,805,10005,1
Male,White,78136,767,10003,1
Male,White,53625,553,10004,1
Male,Black,112873,735,10005,1
Male,Hispanic,130843,721,10003,1
Female,White,102592,750,10003,1
Male,White,107052,812,10001,1
Male,Asian,74261,611,10002,1
Female,Black,31542,754,10002,1
Male,Black,51677,802,10005,1
Female,Black,76732,706,10002,1
Male,White,80343,728,10004,1
Female,White,69081,840,10002,1
Female,Asian,92856,565,10005,1
Male,Asian,123105,574,10002,1
Male,Asian,118858,602,10004,1
Female,Hispanic,49065,691,10001,1
Female,White,113460,751,10005,1
Female,White,118092,725,10001,1
Female,Asian,84693,793,10001,1
Male,Black,56962,805,10001,1
Male,Black,58295,597,10003,0
Male,Asian,43807,837,10003,1
Female,Asian,72348,785,10001,1
Female,White,56432,834,10005,1
Male,White,113285,846,10004,1
Male,White,136995,807,10004,1
Male,White,121792,748,10002,1
Male,White,87854,665,10005,1
Female,White,70262,834,10003,1
Female,White,67080,529,10001,1
Female,White,31324,746,10002,1
Male,White,121267,605,10004,1
Male,White,65909,550,10003,1
Female,White,119339,580,10003,1
Female,Asian,49870,632,10001,0
Female,White,64578,784,10004,1
Female,White,102124,637,10005,1
Male,White,147611,683,10003,1
Female,Asian,133605,829,10001,1
Male,White,56790,772,10005,1
Male,Black,148874,839,10004,1
Male,White,55289,568,10003,1
Male,White,85129,533,10005,1
Female,White,123714,761,10005,1
Male,White,124246,552,10005,1
Female,Black,45485,704,10003,1
Female,Black,74482,625,10003,0
Male,Hispanic,116188,734,10002,1
Male,White,34748,542,10004,0
Female,White,116769,739,10001,1
Male,Asian,39435,610,10005,0
Male,White,33709,748,10002,1
Male,White,60355,650,10001,1
Male,White,85771,682,10002,1
Female,White,87799,835,10003,1
Female,Hispanic,43116,594,10005,0
Female,Asian,55470,507,10001,0
Female,Black,72344,683,10001,1
Female,White,72918,780,10001,1
Male,White,82224,694,10001,1
Female,White,69298,694,10001,1
Female,White,138492,654,10002,1
Female,White,110219,592,10005,1
Female,Black,91629,659,10003,1
Male,Black,96040,560,10003,1
Male,White,129518,621,10003,1
Male,Hispanic,129835,550,10003,1
Male,Black,58016,776,10002,1
Female,White,53960,504,10004,0
Female,Black,63591,591,10005,1
Male,White,112848,669,10001,1
Female,White,133333,816,10004,1
Male,White,141732,521,10003,1
Male,Asian,144821,825,10004,1
Male,White,97641,500,10005,1
Male,White,66395,632,10001,1
Female,White,141276,732,10001,1
Male,White,52700,511,10005,1
Female,Asian,64620,845,10005,1
Female,Black,133214,545,10003,1
Male,White,50559,533,10001,1
Female,White,123045,577,10004,1
Female,White,123396,717,10002,1
Male,White,91642,800,10002,1
Male,White,106539,572,10005,1
Male,White,51732,781,10003,1
Male,White,121362,748,10002,1
Male,Black,60354,546,10001,0
Female,Black,43843,620,10005,1
Female,White,140008,713,10004,1
Male,White,144065,738,10005,1
Male,Black,101726,555,10004,1
Female,White,47640,849,10005,1
Male,Asian,82528,606,10005,1
Male,Black,68413,818,10005,1
Male,White,82638,547,10004,1
Female,White,82736,560,10004,1
Male,Black,137892,836,10005,1
Female,White,140133,525,10002,1
Female,White,136357,791,10003,1
Male,Hispanic,98866,756,10003,1
Female,White,49087,507,10003,0
Male,White,71430,612,10004,1
Female,Black,54504,752,10004,1
Female,White,37114,679,10002,1
Female,White,108859,706,10003,1
Male,Hispanic,129657,802,10003,1
Female,White,40975,626,10005,0
Male,Hispanic,41023,555,10004,1
Male,Hispanic,51447,713,10003,1
Male,White,120469,513,10002,1
Female,White,53959,527,10002,0
Female,White,96203,577,10003,1
Male,White,149156,715,10004,1
Female,White,59703,653,10002,1
Male,Black,39337,513,10005,0
Female,White,76427,686,10002,1
Male,White,91529,811,10001,1
Female,Asian,132023,506,10001,1
Male,White,114665,502,10004,1
Female,Asian,135787,610,10003,1
Male,White,61921,737,10004,1
Male,White,63307,738,10004,1
Male,Black,57355,773,10004,1
Female,Black,133268,793,10004,1
Female,Asian,34835,726,10005,0
Male,Black,50159,514,10005,1
Female,Asian,134346,691,10002,1
Female,White,77605,618,10001,1
Female,White,135616,527,10004,1
Female,Asian,68088,701,10002,1
Male,Asian,108752,538,10001,1
Male,Hispanic,85284,772,10003,1
Female,White,87043,730,10005,1
Female,White,65547,585,10001,1
Female,Asian,127007,625,10003,1
Male,White,112844,799,10001,1
Male,Hispanic,57532,524,10005,0
Female,Asian,64349,644,10005,1
Female,White,148012,512,10002,1
Female,Asian,75445,711,10004,1
Female,Asian,35713,524,10001,0
