rural_urban,gender,academic_score,family_income,selected
Rural,Female,90,108142,1
Urban,Male,79,19860,1
Urban,Male,66,114293,1
Urban,Female,98,90642,1
Rural,Female,69,60612,1
Rural,Male,97,33574,1
Rural,Male,74,33524,1
Urban,Female,71,79172,1
Urban,Male,62,20916,0
Urban,Male,68,14809,0
Rural,Female,98,42201,1
Urban,Female,85,63330,1
Urban,Female,61,23456,0
Rural,Male,90,66397,1
Rural,Female,68,48765,0
Rural,Male,61,44816,0
Rural,Male,58,55106,0
Urban,Female,56,63932,0
Urban,Female,77,27100,1
Rural,Female,63,67091,1
Urban,Female,80,31949,1
Rural,Female,68,80080,1
Rural,Male,96,47744,1
Rural,Male,65,55543,1
Urban,Male,54,118319,0
Urban,Male,84,102193,1
Rural,Female,61,46187,1
Urban,Male,74,17239,1
Urban,Female,70,24489,0
Rural,Female,85,68017,1
Urban,Female,72,71877,1
Rural,Female,65,53125,1
Rural,Female,88,59922,1
Urban,Male,94,104074,1
Urban,Male,91,42049,1
Urban,Female,88,47131,1
Rural,Male,63,52944,0
Rural,Male,80,83963,0
Urban,Female,54,116884,1
Urban,Male,84,34285,1
Rural,Female,72,47626,0
Urban,Female,78,52808,1
Rural,Female,92,98464,1
Urban,Male,60,63871,0
Rural,Male,67,29198,0
Urban,Female,96,29758,1
Rural,Male,61,25254,1
Urban,Female,58,54238,1
Urban,Female,59,11252,0
Rural,Female,93,49764,1
Urban,Male,66,87709,1
Urban,Male,87,47441,1
Urban,Female,56,102234,1
Urban,Male,95,63682,1
Urban,Male,62,69494,0
Urban,Female,89,91317,1
Rural,Female,91,75215,1
Rural,Female,58,88587,0
Rural,Female,99,115185,1
Rural,Male,76,16949,0
Rural,Female,51,117825,0
Rural,Female,54,65393,0
Urban,Male,78,83553,1
Rural,Female,86,16941,0
Rural,Female,87,35934,1
Urban,Female,68,33386,1
Rural,Female,57,71886,1
Urban,Female,97,85745,1
Rural,Male,94,93251,1
Urban,Male,50,104456,0
Urban,Female,71,63413,0
Rural,Female,66,66800,0
Rural,Female,56,107239,0
Urban,Female,74,52318,1
Urban,Female,94,80173,1
Urban,Female,53,80390,0
Urban,Female,85,62329,1
Rural,Female,55,53088,0
Rural,Female,80,113196,1
Rural,Female,68,49811,0
Urban,Female,93,65479,1
Urban,Male,88,95392,1
Rural,Male,76,97369,1
Rural,Male,59,29963,0
Rural,Female,75,65123,1
Rural,Male,68,112468,1
Urban,Male,88,102705,1
Urban,Female,52,83477,0
Urban,Male,94,24388,1
Urban,Female,62,15569,0
Rural,Male,99,79836,1
Urban,Male,77,114573,1
Urban,Female,69,46586,1
Urban,Male,77,22015,1
Urban,Male,57,55002,0
Urban,Female,90,16254,1
Urban,Female,88,27144,1
Urban,Male,50,34214,0
Rural,Female,52,115654,0
Rural,Male,62,90719,0
Rural,Male,77,81774,1
Urban,Female,98,16090,1
Rural,Female,74,21637,0
Urban,Female,82,32415,1
Urban,Female,87,34071,1
Rural,Female,55,68243,0
Urban,Female,93,118215,1
Urban,Male,94,51240,0
Rural,Female,81,93807,1
Rural,Male,94,111570,1
Rural,Male,96,43434,1
Rural,Male,70,79724,1
Urban,Male,65,85697,1
Urban,Female,70,38732,1
Urban,Female,60,21314,0
Urban,Female,86,33954,1
Urban,Male,85,67108,1
Rural,Male,84,97044,1
Urban,Male,68,97505,1
Urban,Male,69,113081,1
Urban,Female,67,46668,1
Urban,Female,96,33061,1
Rural,Female,90,89252,1
Rural,Male,98,49749,1
Rural,Female,63,114680,1
